"age","workclass","fnlwgt","education","education-num","marital-status","occupation","relationship","race","sex","capital-gain","capital-loss","hours-per-week","native-country"
"59","Self-emp-not-inc","195835","HS-grad","9","Married-civ-spouse","Sales","Husband","White","Male","0","0","60","United-States"
"31","Private","263561","Masters","14","Married-civ-spouse","Exec-managerial","Husband","White","Male","0","0","40","United-States"
"47","Private","101825","HS-grad","9","Married-civ-spouse","Adm-clerical","Wife","White","Female","0","0","40","United-States"
"40","Private","82161","Bachelors","13","Never-married","Adm-clerical","Not-in-family","White","Male","0","0","40","United-States"
"41","Private","255044","Bachelors","13","Divorced","Exec-managerial","Not-in-family","White","Female","0","0","55","United-States"
"40","Private","445382","HS-grad","9","Married-civ-spouse","Exec-managerial","Husband","White","Male","0","0","40","United-States"
"28","Private","108706","HS-grad","9","Married-civ-spouse","Tech-support","Wife","White","Female","0","0","40","United-States"
"26","Private","101812","HS-grad","9","Never-married","Machine-op-inspct","Unmarried","White","Male","5721","0","40","United-States"
"46","Self-emp-inc","116338","Masters","14","Married-civ-spouse","Exec-managerial","Wife","White","Female","0","0","50","United-States"
"59","Private","212783","HS-grad","9","Divorced","Other-service","Not-in-family","White","Female","0","0","38","United-States"
"22","Private","369084","Some-college","10","Never-married","Craft-repair","Own-child","White","Male","0","0","40","United-States"
"23","Private","308498","Some-college","10","Never-married","Craft-repair","Own-child","White","Male","0","0","15","United-States"
"28","Private","98010","Some-college","10","Married-spouse-absent","Adm-clerical","Own-child","White","Female","0","0","40","United-States"
"39","Self-emp-inc","543042","HS-grad","9","Married-civ-spouse","Craft-repair","Husband","White","Male","5178","0","50","United-States"
"25","Private","190916","HS-grad","9","Never-married","Adm-clerical","Not-in-family","White","Male","0","0","40","United-States"
"22","Private","155362","HS-grad","9","Never-married","Sales","Own-child","White","Female","0","0","35","United-States"
"20","Private","344698","Some-college","10","Never-married","Machine-op-inspct","Own-child","White","Male","0","0","30","United-States"
"39","Private","206298","Some-college","10","Divorced","Adm-clerical","Not-in-family","White","Female","0","0","40","United-States"
"61","Private","202952","10th","6","Divorced","Other-service","Not-in-family","Black","Female","0","0","24","United-States"
"28","Private","172891","HS-grad","9","Married-civ-spouse","Farming-fishing","Husband","White","Male","0","0","50","United-States"
"22","Private","212803","HS-grad","9","Never-married","Other-service","Not-in-family","White","Female","0","0","40","United-States"
"29","Private","146949","Assoc-voc","11","Married-civ-spouse","Prof-specialty","Husband","White","Male","0","0","43","United-States"
"22","Private","212780","HS-grad","9","Never-married","Sales","Not-in-family","Black","Female","0","0","30","United-States"
"47","Self-emp-not-inc","132589","Some-college","10","Married-civ-spouse","Farming-fishing","Husband","White","Male","0","0","72","United-States"
"44","State-gov","101603","Bachelors","13","Married-civ-spouse","Exec-managerial","Husband","White","Male","0","0","40","United-States"
"42","Private","252392","HS-grad","9","Married-civ-spouse","Transport-moving","Husband","White","Male","0","0","40","United-States"
"37","Private","226500","HS-grad","9","Married-civ-spouse","Sales","Husband","White","Male","0","0","50","United-States"
"31","Private","200835","Bachelors","13","Married-spouse-absent","Prof-specialty","Not-in-family","Asian-Pac-Islander","Male","0","0","40","Japan"
"52","Local-gov","133403","HS-grad","9","Married-civ-spouse","Transport-moving","Husband","White","Male","0","0","40","United-States"
"52","Private","279344","Masters","14","Married-civ-spouse","Exec-managerial","Wife","White","Female","15024","0","60","United-States"
"41","Private","407425","12th","8","Divorced","Machine-op-inspct","Not-in-family","Black","Female","0","0","40","United-States"
"65","Private","274916","HS-grad","9","Widowed","Sales","Unmarried","White","Female","0","0","40","United-States"
"21","Private","223019","HS-grad","9","Never-married","Other-service","Own-child","White","Female","0","0","30","United-States"
"44","Private","124563","HS-grad","9","Married-civ-spouse","Machine-op-inspct","Husband","Black","Male","0","0","40","United-States"
"37","Private","265737","Some-college","10","Married-civ-spouse","Exec-managerial","Husband","Black","Male","0","1887","60","Cuba"
"22","Private","303170","Some-college","10","Never-married","Priv-house-serv","Own-child","White","Female","0","0","28","United-States"
"46","Private","143189","5th-6th","3","Never-married","Machine-op-inspct","Own-child","White","Female","0","0","40","Dominican-Republic"
"32","Private","234755","HS-grad","9","Separated","Craft-repair","Unmarried","Black","Male","0","0","40","United-States"
"45","Private","197038","Bachelors","13","Divorced","Prof-specialty","Not-in-family","White","Male","0","0","50","United-States"
"20","Private","38620","Some-college","10","Never-married","Other-service","Own-child","White","Male","0","0","20","United-States"
"44","Private","117936","HS-grad","9","Married-civ-spouse","Craft-repair","Husband","Black","Male","0","0","40","United-States"
"52","Federal-gov","35546","HS-grad","9","Married-civ-spouse","Tech-support","Husband","White","Male","0","0","40","United-States"
"33","Private","184306","HS-grad","9","Divorced","Handlers-cleaners","Unmarried","White","Male","0","0","30","United-States"
"38","Private","201454","Some-college","10","Divorced","Adm-clerical","Unmarried","White","Female","0","0","40","United-States"
"19","Private","177839","HS-grad","9","Never-married","Other-service","Own-child","White","Female","0","0","15","United-States"
"56","Private","133876","Bachelors","13","Married-civ-spouse","Prof-specialty","Husband","White","Male","0","0","40","United-States"
"33","Private","409172","Bachelors","13","Married-civ-spouse","Exec-managerial","Own-child","White","Male","0","0","55","United-States"
"41","Private","171234","Some-college","10","Never-married","Machine-op-inspct","Not-in-family","White","Female","0","0","48","United-States"
"42","Private","147251","Some-college","10","Married-civ-spouse","Prof-specialty","Wife","White","Female","0","0","36","United-States"
"58","Private","68624","HS-grad","9","Married-civ-spouse","Exec-managerial","Husband","White","Male","0","0","45","United-States"
"44","Local-gov","184105","Bachelors","13","Married-civ-spouse","Adm-clerical","Husband","White","Male","5013","0","40","United-States"
"36","Private","127961","Bachelors","13","Married-civ-spouse","Exec-managerial","Husband","White","Male","0","0","50","United-States"
"60","State-gov","113544","Bachelors","13","Married-civ-spouse","Exec-managerial","Husband","White","Male","0","0","50","United-States"
"24","Private","148315","HS-grad","9","Never-married","Handlers-cleaners","Unmarried","White","Male","0","0","45","United-States"
"58","Private","179715","Bachelors","13","Married-civ-spouse","Prof-specialty","Husband","White","Male","0","0","47","United-States"
"50","Private","81548","HS-grad","9","Married-civ-spouse","Prof-specialty","Husband","White","Male","0","0","40","United-States"
"28","Federal-gov","24153","10th","6","Married-civ-spouse","Other-service","Wife","Amer-Indian-Eskimo","Female","0","0","40","United-States"
"42","Private","102988","Masters","14","Married-civ-spouse","Prof-specialty","Husband","White","Male","0","0","55","Ecuador"
"35","Private","44780","Some-college","10","Married-civ-spouse","Adm-clerical","Wife","White","Female","7688","0","20","United-States"
"23","Private","179241","Assoc-voc","11","Never-married","Adm-clerical","Own-child","White","Female","0","0","40","United-States"
"29","Private","168524","Some-college","10","Never-married","Tech-support","Not-in-family","White","Female","0","0","40","United-States"
"43","State-gov","27661","Masters","14","Never-married","Prof-specialty","Not-in-family","White","Male","0","0","45","United-States"
"34","Private","245487","7th-8th","4","Married-civ-spouse","Transport-moving","Husband","Amer-Indian-Eskimo","Male","0","0","45","Mexico"
"60","Private","226949","HS-grad","9","Divorced","Adm-clerical","Unmarried","White","Female","0","0","37","United-States"
"23","Private","220993","HS-grad","9","Married-civ-spouse","Sales","Not-in-family","Black","Male","0","0","60","United-States"
"48","Local-gov","144122","Masters","14","Divorced","Prof-specialty","Not-in-family","White","Female","0","0","40","United-States"
"17","Private","181015","10th","6","Never-married","Other-service","Other-relative","White","Male","0","0","15","United-States"
"19","Private","174732","Some-college","10","Never-married","Other-service","Own-child","Black","Male","0","0","25","United-States"
"40","Self-emp-inc","137367","Some-college","10","Married-civ-spouse","Exec-managerial","Husband","Asian-Pac-Islander","Male","0","0","50","China"
"53","Private","187492","Bachelors","13","Divorced","Craft-repair","Not-in-family","Asian-Pac-Islander","Female","0","0","40","Philippines"
"40","Private","236021","Some-college","10","Never-married","Exec-managerial","Not-in-family","White","Male","0","0","50","United-States"
"53","Self-emp-inc","136823","11th","7","Widowed","Exec-managerial","Not-in-family","White","Female","0","0","30","United-States"
"29","Self-emp-not-inc","37429","HS-grad","9","Married-civ-spouse","Other-service","Wife","White","Female","0","0","30","United-States"
"29","Private","183061","HS-grad","9","Married-civ-spouse","Craft-repair","Husband","Amer-Indian-Eskimo","Male","0","0","48","United-States"
"57","Private","175942","Some-college","10","Married-civ-spouse","Exec-managerial","Husband","White","Male","0","0","50","United-States"
"27","Private","87006","Some-college","10","Married-civ-spouse","Adm-clerical","Wife","White","Female","0","1579","40","United-States"
"41","Private","190885","HS-grad","9","Divorced","Priv-house-serv","Not-in-family","White","Female","0","0","40","Guatemala"
"34","Private","176244","HS-grad","9","Married-civ-spouse","Machine-op-inspct","Other-relative","White","Female","0","0","40","Mexico"
"30","Private","176410","Assoc-voc","11","Married-civ-spouse","Prof-specialty","Own-child","White","Female","7298","0","16","United-States"
"50","Self-emp-not-inc","30653","Masters","14","Married-civ-spouse","Farming-fishing","Husband","White","Male","2407","0","98","United-States"
"32","Private","194740","Bachelors","13","Married-civ-spouse","Sales","Husband","White","Male","0","1902","40","United-States"
"33","Local-gov","147921","HS-grad","9","Widowed","Other-service","Unmarried","White","Female","0","0","40","United-States"
"30","Private","125762","Some-college","10","Married-civ-spouse","Adm-clerical","Husband","White","Male","0","0","30","United-States"
"43","Private","178780","Assoc-acdm","12","Married-civ-spouse","Exec-managerial","Husband","White","Male","0","0","45","United-States"
"42","Local-gov","720428","Some-college","10","Married-civ-spouse","Protective-serv","Husband","Black","Male","0","0","40","United-States"
"33","Private","35378","Bachelors","13","Married-civ-spouse","Sales","Wife","White","Female","0","0","45","United-States"
"48","Private","187715","Assoc-acdm","12","Married-civ-spouse","Craft-repair","Husband","White","Male","0","1848","46","United-States"
"44","State-gov","244974","Bachelors","13","Married-civ-spouse","Protective-serv","Husband","White","Male","0","0","44","United-States"
"50","Private","197623","HS-grad","9","Divorced","Other-service","Not-in-family","White","Female","0","0","32","United-States"
"24","Private","55424","Bachelors","13","Never-married","Exec-managerial","Own-child","White","Male","0","0","40","United-States"
"61","Private","69867","HS-grad","9","Married-civ-spouse","Exec-managerial","Husband","White","Male","0","0","40","United-States"
"43","State-gov","99185","Bachelors","13","Divorced","Prof-specialty","Not-in-family","White","Female","0","0","40","United-States"
"59","Private","244554","11th","7","Divorced","Other-service","Not-in-family","Black","Female","0","0","35","United-States"
"40","Private","226388","HS-grad","9","Married-civ-spouse","Craft-repair","Husband","Black","Male","0","0","40","United-States"
"60","Private","181953","HS-grad","9","Married-civ-spouse","Transport-moving","Husband","White","Male","0","0","28","United-States"
"42","Private","191712","Bachelors","13","Divorced","Sales","Not-in-family","White","Male","0","1590","40","United-States"
"42","Private","68729","Some-college","10","Never-married","Craft-repair","Not-in-family","Asian-Pac-Islander","Male","0","0","40","United-States"
"17","Private","112291","11th","7","Never-married","Handlers-cleaners","Own-child","White","Male","0","0","12","United-States"
"67","Private","101132","7th-8th","4","Married-civ-spouse","Craft-repair","Husband","White","Male","1797","0","40","United-States"
"52","Private","243616","5th-6th","3","Separated","Craft-repair","Unmarried","Black","Female","4101","0","40","United-States"
"32","Private","56150","HS-grad","9","Married-civ-spouse","Sales","Husband","White","Male","0","0","40","United-States"
"42","Private","190290","Assoc-acdm","12","Married-civ-spouse","Prof-specialty","Husband","White","Male","0","0","40","United-States"
"45","Private","160647","Bachelors","13","Divorced","Adm-clerical","Unmarried","White","Female","4687","0","35","United-States"
"18","Private","166889","Some-college","10","Never-married","Handlers-cleaners","Own-child","Black","Female","0","1602","35","United-States"
"70","Private","187891","11th","7","Married-civ-spouse","Transport-moving","Husband","White","Male","0","0","40","United-States"
"30","Private","175878","HS-grad","9","Married-civ-spouse","Craft-repair","Husband","White","Male","0","0","42","United-States"
"32","Self-emp-not-inc","337696","Some-college","10","Married-civ-spouse","Sales","Husband","White","Male","0","0","50","United-States"
"47","Private","285200","HS-grad","9","Married-civ-spouse","Craft-repair","Husband","White","Male","0","0","40","United-States"
"42","State-gov","219682","Masters","14","Divorced","Exec-managerial","Not-in-family","White","Male","0","0","45","United-States"
"54","Private","69477","Masters","14","Married-civ-spouse","Prof-specialty","Husband","White","Male","0","1902","60","United-States"
"35","Private","354520","Bachelors","13","Never-married","Exec-managerial","Not-in-family","White","Female","0","0","50","United-States"
"54","Private","222882","HS-grad","9","Widowed","Exec-managerial","Unmarried","White","Female","0","0","45","United-States"
"26","Private","159732","Bachelors","13","Never-married","Adm-clerical","Not-in-family","White","Male","0","2205","43","United-States"
"20","Private","177896","HS-grad","9","Never-married","Handlers-cleaners","Other-relative","Black","Male","0","0","40","United-States"
"17","Local-gov","246308","11th","7","Never-married","Prof-specialty","Own-child","White","Female","0","0","20","Puerto-Rico"
"27","Private","278581","Bachelors","13","Never-married","Sales","Own-child","White","Female","0","0","40","United-States"
"34","Private","143083","Assoc-voc","11","Married-civ-spouse","Adm-clerical","Wife","White","Female","0","0","18","United-States"
"26","Private","322547","Bachelors","13","Never-married","Prof-specialty","Not-in-family","White","Female","0","0","45","United-States"
"19","Private","167087","HS-grad","9","Never-married","Adm-clerical","Not-in-family","White","Female","0","0","40","United-States"
"61","Private","26254","HS-grad","9","Divorced","Exec-managerial","Not-in-family","White","Female","0","0","40","United-States"
"27","Private","200610","HS-grad","9","Married-civ-spouse","Machine-op-inspct","Husband","White","Male","2580","0","40","United-States"
"30","Local-gov","200892","Masters","14","Married-civ-spouse","Prof-specialty","Husband","White","Male","0","0","40","United-States"
"47","Private","203505","Doctorate","16","Never-married","Prof-specialty","Own-child","White","Female","0","0","23","United-States"
"26","Private","410240","11th","7","Never-married","Craft-repair","Not-in-family","White","Male","0","0","40","United-States"
"57","Private","122562","10th","6","Married-civ-spouse","Transport-moving","Husband","White","Male","0","0","60","United-States"
"50","Private","289390","HS-grad","9","Married-civ-spouse","Craft-repair","Husband","White","Male","0","0","47","United-States"
"50","Private","228238","HS-grad","9","Married-civ-spouse","Craft-repair","Husband","White","Male","0","0","40","United-States"
"31","Private","62374","HS-grad","9","Married-civ-spouse","Prof-specialty","Husband","White","Male","0","0","50","United-States"
"39","Private","299725","HS-grad","9","Divorced","Handlers-cleaners","Not-in-family","White","Female","0","0","37","United-States"
"44","Private","402718","1st-4th","2","Married-civ-spouse","Farming-fishing","Husband","White","Male","0","0","40","Mexico"
"25","Private","178037","Some-college","10","Never-married","Adm-clerical","Own-child","White","Male","0","0","35","United-States"
"26","Private","228457","11th","7","Divorced","Handlers-cleaners","Not-in-family","White","Male","0","0","40","United-States"
"24","Private","43535","Bachelors","13","Never-married","Other-service","Not-in-family","White","Female","0","0","32","United-States"
"18","Private","268952","12th","8","Never-married","Other-service","Own-child","White","Male","0","0","20","United-States"
"36","Private","128516","HS-grad","9","Married-civ-spouse","Adm-clerical","Wife","White","Female","0","0","40","United-States"
"34","Self-emp-not-inc","213887","Doctorate","16","Married-civ-spouse","Prof-specialty","Husband","White","Male","0","0","32","Canada"
"65","Private","180807","HS-grad","9","Separated","Protective-serv","Not-in-family","White","Male","991","0","20","United-States"
"34","Local-gov","136331","Bachelors","13","Married-civ-spouse","Prof-specialty","Husband","White","Male","0","0","60","United-States"
"49","Private","61307","7th-8th","4","Married-civ-spouse","Machine-op-inspct","Husband","Other","Male","0","0","38","United-States"
"48","Private","83545","Some-college","10","Married-civ-spouse","Exec-managerial","Husband","White","Male","0","0","65","United-States"
"17","Private","266134","10th","6","Never-married","Other-service","Own-child","White","Male","0","0","12","United-States"
"38","Local-gov","223004","Some-college","10","Divorced","Protective-serv","Not-in-family","White","Male","0","0","75","United-States"
"24","Private","279041","HS-grad","9","Never-married","Handlers-cleaners","Own-child","Black","Male","0","0","40","United-States"
"42","Private","213464","Some-college","10","Married-civ-spouse","Craft-repair","Husband","White","Male","0","0","40","United-States"
"44","Local-gov","112763","Masters","14","Divorced","Prof-specialty","Unmarried","White","Female","0","0","38","United-States"
"25","Private","259336","HS-grad","9","Never-married","Other-service","Own-child","White","Male","0","0","40","Peru"
"48","Private","253596","Bachelors","13","Divorced","Exec-managerial","Unmarried","White","Female","0","0","48","United-States"
"37","Private","188069","HS-grad","9","Married-civ-spouse","Machine-op-inspct","Husband","White","Male","0","0","40","United-States"
"26","Private","22328","Bachelors","13","Married-civ-spouse","Sales","Husband","White","Male","0","0","40","United-States"
"50","Private","166758","Some-college","10","Divorced","Other-service","Not-in-family","White","Female","0","0","15","United-States"
"58","Self-emp-not-inc","318106","HS-grad","9","Married-civ-spouse","Exec-managerial","Husband","White","Male","0","0","40","United-States"
"40","Private","300195","Some-college","10","Divorced","Tech-support","Unmarried","Black","Female","0","0","40","United-States"
"35","Private","275364","Bachelors","13","Divorced","Tech-support","Unmarried","White","Male","7430","0","40","Germany"
"22","Private","182163","HS-grad","9","Separated","Sales","Unmarried","White","Female","0","0","40","United-States"
"42","Self-emp-not-inc","120837","HS-grad","9","Married-civ-spouse","Craft-repair","Husband","White","Male","0","2042","48","United-States"
"25","Private","109009","11th","7","Married-civ-spouse","Craft-repair","Husband","White","Male","0","0","40","United-States"
"60","Private","180632","12th","8","Divorced","Farming-fishing","Not-in-family","White","Male","0","0","40","United-States"
"43","Private","484861","Some-college","10","Married-civ-spouse","Craft-repair","Husband","White","Male","4064","0","38","United-States"
"81","Self-emp-inc","51646","Some-college","10","Married-civ-spouse","Sales","Husband","White","Male","0","2174","35","United-States"
"43","Federal-gov","262233","Bachelors","13","Divorced","Exec-managerial","Not-in-family","White","Male","0","0","40","United-States"
"33","Private","427812","9th","5","Married-civ-spouse","Handlers-cleaners","Husband","White","Male","0","0","40","Puerto-Rico"
"22","Private","150175","Some-college","10","Never-married","Adm-clerical","Own-child","White","Female","0","0","20","United-States"
"24","Federal-gov","228724","Some-college","10","Never-married","Armed-Forces","Not-in-family","White","Male","0","0","40","United-States"
"31","Private","298871","Doctorate","16","Married-civ-spouse","Prof-specialty","Husband","Asian-Pac-Islander","Male","0","0","40","China"
"22","Private","341760","Bachelors","13","Never-married","Exec-managerial","Own-child","White","Female","0","0","40","United-States"
"39","Private","140854","HS-grad","9","Never-married","Prof-specialty","Not-in-family","White","Male","0","0","50","United-States"
"39","Private","181384","Assoc-acdm","12","Never-married","Adm-clerical","Not-in-family","White","Male","0","0","20","United-States"
"22","Private","72887","Some-college","10","Never-married","Other-service","Own-child","Asian-Pac-Islander","Male","0","0","24","United-States"
"23","Private","117618","Some-college","10","Never-married","Handlers-cleaners","Own-child","White","Male","0","0","35","United-States"
"57","Self-emp-not-inc","103948","Prof-school","15","Married-civ-spouse","Prof-specialty","Husband","White","Male","0","0","30","United-States"
"27","Private","366066","Assoc-acdm","12","Never-married","Sales","Own-child","White","Female","0","0","40","United-States"
"40","Private","203761","HS-grad","9","Married-civ-spouse","Machine-op-inspct","Husband","White","Male","0","0","40","United-States"
"23","Private","69911","Preschool","1","Never-married","Other-service","Own-child","White","Female","0","0","15","United-States"
"67","Private","186427","Bachelors","13","Married-civ-spouse","Exec-managerial","Husband","White","Male","0","0","45","United-States"
"36","Private","86143","Assoc-voc","11","Never-married","Craft-repair","Own-child","Asian-Pac-Islander","Male","0","0","40","United-States"
"47","Self-emp-inc","110901","Prof-school","15","Married-civ-spouse","Prof-specialty","Husband","White","Male","0","2415","55","United-States"
"35","Private","187711","HS-grad","9","Divorced","Machine-op-inspct","Not-in-family","White","Male","0","0","40","United-States"
"64","Local-gov","31993","7th-8th","4","Married-civ-spouse","Protective-serv","Husband","White","Male","0","0","10","United-States"
"57","Private","197369","HS-grad","9","Married-civ-spouse","Protective-serv","Husband","White","Male","0","0","40","United-States"
"38","Private","23892","HS-grad","9","Married-civ-spouse","Machine-op-inspct","Wife","White","Female","0","0","40","United-States"
"60","Private","160339","Some-college","10","Married-civ-spouse","Craft-repair","Husband","White","Male","0","0","40","Columbia"
"18","Private","88440","HS-grad","9","Married-civ-spouse","Sales","Wife","White","Female","0","0","36","United-States"
"61","Private","176839","Bachelors","13","Married-civ-spouse","Prof-specialty","Husband","White","Male","15024","0","50","United-States"
"39","Private","174368","HS-grad","9","Married-civ-spouse","Adm-clerical","Wife","White","Female","0","0","40","United-States"
"28","Private","107189","HS-grad","9","Married-civ-spouse","Sales","Own-child","White","Female","0","0","40","United-States"
"57","Private","127728","Bachelors","13","Married-civ-spouse","Exec-managerial","Husband","White","Male","15024","0","50","United-States"
"19","Private","243373","12th","8","Never-married","Sales","Other-relative","White","Male","1055","0","40","United-States"
"40","Private","347890","Bachelors","13","Married-civ-spouse","Prof-specialty","Husband","White","Male","0","0","40","United-States"
"60","Private","82388","Some-college","10","Married-civ-spouse","Protective-serv","Husband","White","Male","0","0","38","United-States"
"28","Private","163320","HS-grad","9","Never-married","Transport-moving","Own-child","White","Male","0","0","40","United-States"
"27","Private","330466","Bachelors","13","Never-married","Tech-support","Other-relative","Asian-Pac-Islander","Male","0","0","40","United-States"
"67","Self-emp-not-inc","98921","Assoc-acdm","12","Married-civ-spouse","Exec-managerial","Husband","White","Male","0","0","50","United-States"
"41","Self-emp-not-inc","240900","HS-grad","9","Divorced","Farming-fishing","Other-relative","White","Male","0","0","20","United-States"
"36","Private","111387","10th","6","Divorced","Sales","Own-child","White","Male","0","0","40","United-States"
"54","Private","87205","HS-grad","9","Widowed","Other-service","Not-in-family","White","Female","0","0","15","United-States"
"36","Private","114059","Bachelors","13","Married-civ-spouse","Exec-managerial","Husband","White","Male","0","0","45","United-States"
"24","Local-gov","103277","Bachelors","13","Never-married","Prof-specialty","Own-child","White","Female","0","0","50","United-States"
"28","Private","216178","Bachelors","13","Married-civ-spouse","Exec-managerial","Husband","White","Male","0","0","50","United-States"
"31","Private","87891","Assoc-acdm","12","Married-civ-spouse","Sales","Husband","White","Male","0","0","60","United-States"
"24","Private","253190","HS-grad","9","Married-civ-spouse","Sales","Husband","White","Male","0","0","45","United-States"
"38","Private","206951","Some-college","10","Never-married","Craft-repair","Own-child","White","Male","0","0","40","United-States"
"28","Self-emp-not-inc","228043","Bachelors","13","Never-married","Sales","Not-in-family","White","Female","0","0","48","United-States"
"26","State-gov","105787","Bachelors","13","Never-married","Prof-specialty","Own-child","White","Male","0","0","40","United-States"
"32","Private","221680","Bachelors","13","Never-married","Machine-op-inspct","Not-in-family","White","Male","0","0","40","United-States"
"55","Private","117299","HS-grad","9","Married-civ-spouse","Craft-repair","Husband","White","Male","7688","0","40","United-States"
"25","Private","254613","HS-grad","9","Never-married","Craft-repair","Own-child","White","Male","0","0","40","Cuba"
"38","Private","121602","HS-grad","9","Married-civ-spouse","Machine-op-inspct","Husband","White","Male","0","0","40","United-States"
"30","Private","323054","10th","6","Divorced","Other-service","Not-in-family","Amer-Indian-Eskimo","Male","0","0","40","United-States"
"32","Private","128016","HS-grad","9","Married-spouse-absent","Other-service","Unmarried","White","Female","0","0","20","United-States"
"46","Private","140644","HS-grad","9","Married-spouse-absent","Machine-op-inspct","Not-in-family","White","Male","0","2258","50","United-States"
"44","Private","279183","Some-college","10","Married-civ-spouse","Other-service","Own-child","White","Female","0","0","40","United-States"
"48","Private","146919","Some-college","10","Divorced","Adm-clerical","Unmarried","White","Female","0","0","45","United-States"
"52","Local-gov","143533","7th-8th","4","Never-married","Other-service","Other-relative","Black","Female","0","0","40","United-States"
"45","Private","329603","Doctorate","16","Married-civ-spouse","Prof-specialty","Husband","White","Male","0","0","40","Poland"
"19","Private","118549","HS-grad","9","Never-married","Adm-clerical","Own-child","White","Female","0","0","15","United-States"
"29","Private","243660","HS-grad","9","Married-civ-spouse","Machine-op-inspct","Husband","White","Male","0","0","50","United-States"
"33","Private","473133","Doctorate","16","Married-civ-spouse","Prof-specialty","Husband","White","Male","15024","0","50","United-States"
"53","Private","94081","Bachelors","13","Married-civ-spouse","Exec-managerial","Husband","White","Male","0","0","44","United-States"
"23","Private","189830","Some-college","10","Married-civ-spouse","Other-service","Husband","Black","Male","0","0","50","United-States"
"65","Private","90377","Assoc-voc","11","Married-civ-spouse","Farming-fishing","Husband","White","Male","6767","0","60","United-States"
"26","Private","214069","HS-grad","9","Separated","Farming-fishing","Not-in-family","White","Male","0","0","40","United-States"
"35","Private","190895","Some-college","10","Married-civ-spouse","Prof-specialty","Husband","White","Male","0","0","60","United-States"
"24","Local-gov","34246","Bachelors","13","Never-married","Prof-specialty","Not-in-family","Asian-Pac-Islander","Male","0","0","40","United-States"
"33","Private","283268","Bachelors","13","Divorced","Exec-managerial","Unmarried","White","Female","0","0","40","United-States"
"25","Private","64671","HS-grad","9","Divorced","Handlers-cleaners","Own-child","Asian-Pac-Islander","Female","0","0","40","Philippines"
"31","Private","167319","Bachelors","13","Married-civ-spouse","Exec-managerial","Husband","White","Male","0","0","40","United-States"
"63","Private","180099","10th","6","Separated","Other-service","Unmarried","Black","Female","0","0","40","United-States"
